X,Y,OBJECTID,Name,Address,DataSet
-9171647.869,3241667.477,56075,Station 15,715 S 58th St,Fire Stations Hillsborough County
-9147542.246,3230041.079,56076,Station 2,6726 Lithia Pinecrest  R,Fire Stations Hillsborough County
-9164230.202,3231654.797,56077,Station 16,9205 Kevin St,Fire Stations Hillsborough County
-9197713.16,3255618.64,56078,Station 35,10401 Countryway Blvd,Fire Stations Hillsborough County
-9184436.335,3261351.408,56079,Station 41,15905 Mapledale Blvd,Fire Stations Hillsborough County
-9184368.18,3257442.151,56080,Station 19,13201 N Dale Mabry Hwy,Fire Stations Hillsborough County
-9190488.677,3248349.841,56081,Station 20,7020 W Hillsborough Ave,Fire Stations Hillsborough County
-9171844.637,3253128.235,56082,Station 1,124 Bullard Pkwy,Fire Stations Hillsborough County
-9166811.05,3212684.113,56083,Station 28,4551 Sun City Center Blv,Fire Stations Hillsborough County
-9161298.658,3249375.388,56084,Station 4,11826 E US Highway 92,Fire Stations Hillsborough County
-9178067.211,3258243.943,56085,Station 5,1113 E 139th Ave,Fire Stations Hillsborough County
-9175940.445,3212903.058,56086,Station 17,410 E College Ave,Fire Stations Hillsborough County
-9161076.26,3212691.376,56087,Station 22,6005 Highway 674,Fire Stations Hillsborough County
-9188037.342,3259724.385,56088,Station 42,5209 Ehrlich Rd,Fire Stations Hillsborough County
-9173800.005,3219399.925,56089,Station 29,626 Golf And Sea Blvd,Fire Stations Hillsborough County
-9158840.174,3241291.903,56090,Station 11,117 Ridgewood Ave,Fire Stations Hillsborough County
-9152518.712,3235546.587,56091,Station 27,4705 E Bloomingdale Ave,Fire Stations Hillsborough County
-9136222.833,3253841.116,56092,Station 30,2526 Charlie Taylor Rd,Fire Stations Hillsborough County
-9184888.388,3252500.399,56093,Station 10,8430 N Grady Ave,Fire Stations Hillsborough County
-9149223.001,3254935.922,56094,Station 26,5302 W Thonotosassa Rd,Fire Stations Hillsborough County
-9193264.445,3248933.415,56095,Station 31,8901 Memorial Hwy,Fire Stations Hillsborough County
-9193030.503,3253710.974,56096,Station 38,9755 Sheldon Rd,Fire Stations Hillsborough County
-9169349.524,3256932.606,56097,Station 2,2 E Telecom Pkwy,Fire Stations Hillsborough County
-9196159.986,3251224.656,56098,Station 39,7371 Montague St,Fire Stations Hillsborough County
-9167948.61,3230090.955,56099,Station 12,8612 Gibsonton Dr,Fire Stations Hillsborough County
-9188970.941,3265222.318,56100,Station 34,6415 Van Dyke Rd,Fire Stations Hillsborough County
-9143544.986,3251705.938,56101,Station 2,809 N Alexander St,Fire Stations Hillsborough County
-9169200.59,3238660.618,56102,Station 1,3302 S 78th St,Fire Stations Hillsborough County
-9136583.721,3244893.643,56103,Station 25,2606 E Trapnell Rd,Fire Stations Hillsborough County
-9179775.371,3268063.756,56104,Station 24,129 W Lutz Lake Fern Rd,Fire Stations Hillsborough County
-9164738.929,3222721.591,56105,Station 3,11817 Big Bend Rd,Fire Stations Hillsborough County
-9163610.365,3235969.893,56106,Station 37,5602 Providence Rd,Fire Stations Hillsborough County
-9165600.912,3241596.219,56107,Station 33,850 S Falkenburg Rd,Fire Stations Hillsborough County
-9171025.898,3205822.369,56108,Station 8,602 Lightfoot Rd,Fire Stations Hillsborough County
-9178942.221,3261869.312,56109,Station 40,16304 N Nebraska Ave,Fire Stations Hillsborough County
-9170799.182,3248692.03,56110,Station 32,6321 Harney Rd,Fire Stations Hillsborough County
-9157318.961,3235641.697,56111,Station 7,1292 Bloomingdale Ave,Fire Stations Hillsborough County
-9189362.825,3254258.656,56112,Station 6,10100 Henderson Rd,Fire Stations Hillsborough County
-9177718.638,3257269.487,56113,Station 14,1404 E 131st Ave,Fire Stations Hillsborough County
-9175209.21,3257862.377,56114,Rescue 43,3100 E Fletcher Ave,Fire Stations Hillsborough County
-9152684.765,3241344.203,56115,Station 36,116 N Dover Rd,Fire Stations Hillsborough County
-9165445.93,3245622.804,56116,Station 9,3225 N Falkenburg Rd,Fire Stations Hillsborough County
-9161164.269,3256163.665,56117,Station 21,11641 Flint Ave,Fire Stations Hillsborough County
-9191694.394,3258502.668,56118,Station 13,7502 Gunn Hwy,Fire Stations Hillsborough County
-9159071.801,3244722.099,56119,Station 18,3096 S Kingsway Rd,Fire Stations Hillsborough County
-9157652.107,3230438.736,56120,Station 44,13601 Fishhawk Blvd,Fire Stations Hillsborough County
-9141224.581,3247648.323,56121,Station 1,604 E Alexander St,Fire Stations Hillsborough County
-9151310.786,3248188.65,56122,Station 23,3138 Sydney Dover Rd,Fire Stations Hillsborough County
-9179156.135,3242477.144,855642,TPD Headquarters,411 N Franklin St,Police Stations 
-9184690.284,3245595.107,855786,TPD District 1,3818 W Tampa Bay Blvd,Police Stations 
-9176728.936,3244148.738,855920,Hillsborough County Sheriff's Office,2008 E 8th Ave,Police Stations 
-9175707.426,3253469.028,855985,TPD District 2,9330 N 30th St,Police Stations 
-9176659.138,3246333.994,855994,TPD District 3,3808 22nd St,Police Stations 
-9184764.643,3240224.817,849532,Fire Station 14,1325 S Church Ave,Fire Stations City of Tampa
-9182385.279,3243797.722,849561,Fire Station 9,2525 W Chestnut St,Fire Stations City of Tampa
-9176610.647,3242254.724,849583,Fire Station 6,311 S 22nd St,Fire Stations City of Tampa
-9178402.979,3249373.225,849588,Fire Station 7,6129 N Nebraska Ave,Fire Stations City of Tampa
-9178789.392,3242894.639,849592,Fire Station 1,808 E Zack St,Fire Stations City of Tampa
-9184130.278,3235487.279,849607,Fire Station 15,4919 S Himes Ave,Fire Stations City of Tampa
-9172493.824,3244364.174,849617,Fire Station 16,5126 E 10th Ave,Fire Stations City of Tampa
-9178906.856,3246491.006,849620,Fire Station 5,3900 N Central Ave,Fire Stations City of Tampa
-9185810.214,3243998.696,849636,Fire Station 8,2015 N Manhattan Ave,Fire Stations City of Tampa
-9178309.598,3239091.23,849638,Fire Station 17,601 E Davis Blvd,Fire Stations City of Tampa
-9187677.71,3245719.643,849682,Fire Station 2,3911 Bessie Coleman Blvd,Fire Stations City of Tampa
-9180738.072,3241959.277,849693,Fire Station 3,103 S Newport Ave,Fire Stations City of Tampa
-9183937.319,3231349.607,849727,Fire Station 53,3250 Zemke Ave,Fire Stations City of Tampa
-9160512.081,3267058.58,849742,Fire Station 22,10871 Cross Creek Blvd,Fire Stations City of Tampa
-9185873.398,3232006.673,849757,Fire Station 19,7910 Interbay Blvd,Fire Stations City of Tampa
-9176642.452,3244356.185,849759,Fire Station 4,2100 E 11th Ave,Fire Stations City of Tampa
-9175716.298,3248801.769,849764,Fire Station 18,5706 N 30th St,Fire Stations City of Tampa
-9175234.059,3245404.821,849792,Fire Station 10,3108 N 34th St,Fire Stations City of Tampa
-9181030.215,3252099.616,849804,Fire Station 11,1500 W Waters Ave,Fire Stations City of Tampa
-9171710.431,3262363.179,849828,Fire Station 20,16200 Bruce B Downs Blvd,Fire Stations City of Tampa
-9175811.338,3253494.027,849831,Fire Station 13,2713 E Annie St,Fire Stations City of Tampa
-9166913.058,3266846.287,849832,Fire Station 21,18902 Green Pine Ln,Fire Stations City of Tampa
-9182981.659,3248548.243,849860,Fire Station 12,3073 W Hillsborough Ave,Fire Stations City of Tampa
-9168049.503,3270457.006,849864,Fire Station 23,20770 Trout Creek Dr,Fire Stations City of Tampa
-9167136.958,3271273.911,849872,Fire Station 26,28229 Aronwood Blvd,Fire Stations City of Tampa
-9178753.243,3252355.04,849877,Fire Station 25,710 E Fairbanks St,Fire Stations City of Tampa
-9175806.215,3253493.865,849882,Fire Station 24,2713 E Annie St,Fire Stations City of Tampa
-9178753.083,3252355.024,849883,Fire Station 26,710 E Fairbanks St,Fire Stations City of Tampa
